m/z,intensity
788.54150390625,68790
788.653015136719,66262
788.764038085938,65906
788.875122070312,37322
788.987640380859,19836
789.099853515625,7874
793.097839355469,7658
795.321899414062,2804
795.430114746094,31930
795.541564941406,27150
795.652526855469,25718
795.765289306641,5256
795.991088867188,10538
796.103118896484,17838
796.215454101562,16616
796.326538085938,7914
797.436889648438,15832
797.547973632812,16554
797.659790039062,8268
797.770202636719,6756
798.436645507812,2870
798.548583984375,31236
798.659545898438,61182
798.77197265625,71116
798.882385253906,63336
798.993225097656,52368
799.103424072266,54234
799.214721679688,39902
799.324890136719,33310
799.436004638672,20044
799.545715332031,15654
799.884033203125,6324
799.994445800781,18550
800.107116699219,27630
800.217590332031,18666
800.327209472656,17064
800.437438964844,10106
800.549530029297,6654
800.658294677734,5410
800.768005371094,2536
801.098449707031,2554
801.662353515625,14892
801.771850585938,39298
801.884399414062,40420
801.993713378906,32560
802.106384277344,34278
802.219482421875,8292
805.98291015625,81482
810.104705810547,33218
810.233520507812,79482
810.357482910156,110274
810.482635498047,107606
810.607574462891,90856
810.732604980469,52794
810.858581542969,32476
810.984558105469,3694
813.607788085938,2724
813.734375,2608
813.859649658203,6904
813.984924316406,2534
814.231140136719,9754
814.354675292969,11602
814.48046875,9554
814.604766845703,6404
814.730194091797,5626
814.858093261719,10432
814.984069824219,165566
815.109619140625,452602
815.235046386719,666992
815.360473632812,695702
815.485382080078,571968
815.611450195312,409504
815.734802246094,245110
815.861755371094,165830
815.984191894531,87870
816.112182617188,54924
816.233093261719,16870
816.359252929688,8950
816.760314941406,11132
816.982299804688,11580
817.104461669922,58714
817.232727050781,59098
817.357482910156,56132
817.427825927734,5272
817.48193359375,46770
817.607482910156,37572
817.735473632812,13606
818.482299804688,3216
818.608032226562,22736
818.732971191406,45458
818.858764648438,50348
818.984069824219,49454
819.109436035156,35902
819.233703613281,17154
819.3583984375,6594
819.6455078125,193692
820.147003173828,130714
820.647186279297,57616
821.147521972656,17964
823.104797363281,3312
823.231994628906,9092
823.357147216797,6446
823.482299804688,2548
823.607513427734,6140
825.108337402344,5326
825.231903076172,6276
825.356536865234,5948
825.480163574219,3166
827.104553222656,2604
827.229248046875,5306
827.352844238281,2738
827.476806640625,2762
830.636291503906,18604
831.138336181641,5502
834.117126464844,30602
834.260803222656,69916
834.404174804688,100898
834.547241210938,82392
834.690063476562,54452
834.833953857422,22614
834.976867675781,2504
836.931762695312,2910
840.23095703125,7838
840.3564453125,43764
840.481628417969,89084
840.607604980469,100426
840.732421875,100488
840.857788085938,80208
840.982818603516,57944
841.108459472656,29708
841.235229492188,6232
842.356231689453,87866
842.4814453125,260092
842.606872558594,371708
842.732116699219,398580
842.857147216797,334054
842.982604980469,253300
843.108093261719,180460
843.233947753906,96742
843.3583984375,57606
843.4833984375,21416
843.609954833984,11480
845.109008789062,11136
845.236694335938,51728
845.360412597656,132696
845.484832763672,190728
845.537963867188,15524
845.610412597656,214026
845.681762695312,14236
845.735504150391,189002
845.860290527344,137416
845.984008789062,97356
846.1103515625,71380
846.236053466797,23990
846.360168457031,3552
847.984100341797,5128
848.109985351562,8438
848.234924316406,7510
848.360321044922,15792
848.486450195312,17016
848.611022949219,25654
848.737548828125,10000
850.364624023438,2728
850.4873046875,29148
850.613098144531,83168
850.738220214844,109914
850.862884521484,115492
850.988037109375,102378
851.113922119141,75342
851.238739013672,36988
851.364349365234,19470
851.631530761719,31328
852.133026123047,16682
852.488037109375,2524
852.63037109375,2602
852.739471435547,11660
852.863830566406,20822
852.989685058594,25806
853.115539550781,32248
853.238922119141,19136
853.366027832031,5718
853.858215332031,9180
853.953002929688,20430
854.051818847656,22158
854.154296875,14536
854.249145507812,20400
854.360046386719,9298
854.486145019531,356954
854.556274414062,2700
854.611389160156,974584
854.736572265625,1488684
854.861999511719,1636342
854.987426757812,1533664
855.113098144531,1426672
855.239166259766,1187716
855.364624023438,948500
855.490173339844,666340
855.615356445312,435792
855.740234375,244808
855.799682617188,2772
855.865753173828,143140
855.989562988281,85696
856.116394042969,77128
856.197296142578,28888
856.239593505859,53056
856.2841796875,38202
856.36376953125,70670
856.423217773438,43966
856.446807861328,8050
856.490905761719,84070
856.561584472656,44294
856.614105224609,103090
856.675018310547,29336
856.737121582031,535408
856.813049316406,10866
856.862670898438,1257836
856.919372558594,3328
856.986999511719,12758096
857.045288085938,3102
857.1123046875,32291390
857.237609863281,48520694
857.362854003906,51108722
857.488098144531,43703506
857.613342285156,31769502
857.738525390625,19961542
857.811279296875,3040
857.863586425781,11481234
857.927124023438,8948
