"","sample","ground_truth","z","mz","spectrum_type","intensity","scaling_factor"
"339","prop0_id1",0,9,763.098693847656,"imp",3.26663719547187e-05,0.00741665323585217
"340","prop0_id1",0,9,763.098693847656,"residuals",0.00093699979633698,1
"341","prop0_id1",0,9,763.20947265625,"mix",0.0010602296802715,1
"342","prop0_id1",0,9,763.20947265625,"flp",9.75779691304762e-05,0.992583346764148
"343","prop0_id1",0,9,763.20947265625,"imp",1.02881230659558e-05,0.00741665323585217
"344","prop0_id1",0,9,763.20947265625,"residuals",0.000963299109660292,1
"345","prop0_id1",0,9,763.320220947266,"mix",0.000898215980467242,1
"346","prop0_id1",0,9,763.320220947266,"flp",3.21217096720352e-05,0.992583346764148
"347","prop0_id1",0,9,763.320220947266,"imp",3.1031277822953e-06,0.00741665323585217
"348","prop0_id1",0,9,763.320220947266,"residuals",0.000866309491554479,1
"349","prop0_id1",0,10,685.191101074219,"mix",0.000713149408822263,1
